Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Bahamas;BHS;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;17734.567327177;18673.8347398528;19608.7392961232;20608.9997659686;21688.3316677513;22863.6476942442;23860.6272862576;25081.9423021766;26161.008342765;27535.28274148;25195.9995103593;24941.4055350112;23530.9465904697;24802.55288824;20245.2212608171;16903.5049908778;17410.1139248833;18599.8151193458;20775.8134693927;25633.1856605736;26700.9449444996;23704.4291199575;24734.3299140047;25066.2102707334;28016.0727071592;28786.2162218705;28759.2828141152;29099.6957785383;29268.9012614323;30706.5571244709;29686.8978383227;27923.9716261566;26348.8455603457;25938.5355504724;26291.9793474048;27018.3449634376;27783.2570775761;28022.6792280982;29017.2910405495;30723.9752444579;31570.5281698484;31910.5095551311;32236.4487923714;31272.8381153798;30978.5823209877;31442.2788734593;31632.4534870083;31485.4937392896;30190.7510358741;28440.0722223017;28443.4076553352;28248.8497757498;28799.9214118515;27676.8974095953;27620.0955343064;27519.8480761179;27370.2025435648;27113.6753665173;27261.2144822129;27477.9598590968;
Bosnia and Herzegovina;BIH;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;701.475092182849;871.166265005081;1674.39514370074;2267.29054363765;2622.20412253167;2867.01296715116;3018.39155458291;3147.56248065322;3310.96700101313;3440.85572808556;3648.78669501381;3967.19497560584;4182.0053550408;4429.98982151809;4680.98609378614;4562.70844792763;4635.51777931783;4734.21455959276;4774.38530075719;4972.66120003689;5117.14002625059;5356.30015154961;5595.09981407949;5772.85405517122;6037.1000188204;6236.03301083026;
Belarus;BLR;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3102.3312813345;3063.60005736517;2763.53034517162;2547.76602301976;2252.31699078187;2024.6089250128;2088.26304292158;2336.21265689013;2544.52680024729;2642.13034281536;2808.57494889477;2956.41530461209;3125.40643982263;3369.02930622984;3780.4759965654;4164.18550822824;4608.73674666689;5028.10690244594;5560.14622910331;5583.70185481887;6029.3967998293;6365.3780531651;6478.70481089972;6542.67841209401;6649.64932834342;6384.81714492541;6215.70186550089;6375.28892983321;6586.2977396088;6678.5090648389;
Belize;BLZ;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;1079.38329873794;1100.64004902979;1122.70719478296;1145.64884804264;1169.02533225297;1191.40864674436;1211.39972621103;1233.19306209562;1285.61100537771;1315.00226326914;1345.27440688335;1369.27859954889;1481.21944481128;1534.61608446008;1715.99321145904;1751.59343880535;1726.54909745287;1813.99199614671;1929.83782808222;2040.54389860995;2268.96227597512;2241.64523053029;2181.08464748443;2075.14036430942;2056.34806912082;2019.55965773149;2053.37839484017;2211.83013876955;2364.45885437801;2607.37747193777;2842.49174735285;3109.07617597248;3426.7127877575;3580.98743976238;3514.49131378142;3446.84309031033;3386.42633077579;3381.19471877855;3375.68076229665;3537.68089179068;3863.54748308276;3921.55200255695;3992.98376553683;4251.48381435778;4340.95485820755;4311.49959680873;4402.68749108416;4311.07404394;4348.22547442813;4249.30150475318;4270.86434454699;4250.31974418125;4253.09941001094;4212.33173688301;4270.94510387408;4300.55933820061;4216.97726841129;4211.44674509465;4217.50694486609;4149.86190551309;
Bermuda;BMU;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;27838.3930375774;28436.716583056;29006.5798401619;28640.8780165917;31041.9500043757;31740.6355233978;35659.1612543762;39616.1419860849;39686.9553481262;40290.5688347111;42055.0304719923;43819.358387283;44942.9191535041;45948.8338277272;46699.0989703916;48824.501768485;52988.7455136405;55903.5590573088;56504.0914894508;57503.2189423032;61083.4509496361;62106.1317965972;58400.2839788516;59061.1697050723;58826.9549652087;57167.1018852694;60463.9087856699;62224.8917779393;64196.2324263801;63939.8115704253;63429.2767665396;61503.6383589572;61913.7772348381;63435.4731513697;63374.766845423;65690.9641699689;66969.933143424;69624.4363363497;71810.384072276;73825.1848453623;79988.3500115683;84844.7383808264;83048.803111906;85321.2432651983;86733.3700723903;87616.3859691804;91944.8738136662;94029.6080297516;94903.19153445;89391.2111759902;88207.3275597322;86001.1711723395;81547.8552352009;79251.7816637313;;;;;;;
Bolivia;BOL;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;1005.40850026935;1006.59365138963;1042.06401883149;1091.03807401752;1111.69104879084;1142.8895984375;1199.98974582606;1249.67794973272;1328.23087523649;1358.65715474943;1399.51523086;1439.01184325452;1520.26819950801;1572.74368482085;1583.77520127802;1662.48245880255;1701.09258633384;1746.45013311798;1743.38949578868;1708.16920493782;1649.25562859068;1619.79081935104;1524.61415484069;1433.77484412013;1402.22516180094;1350.75411360993;1288.94023118672;1293.28608745006;1303.10781008416;1324.16334971762;1356.53993740886;1398.12306298772;1391.48016825368;1420.74327602158;1456.39460529322;1493.41846771504;1527.11134094105;1570.82497822518;1617.36710627811;1592.73741489358;1601.41665812106;1597.64201121273;1606.90467715541;1620.26366392743;1657.50512835135;1700.18279095051;1750.80304828605;1799.49854611382;1878.1103131111;1909.08458812934;1955.46155736098;2024.11732438255;2094.02421738306;2201.39684777688;2286.01319823426;2361.05658121979;2425.56164473958;2490.95631434671;2559.51126345152;2579.89911864832;
Brazil;BRA;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;3417.35244190971;3660.39149911126;3740.43327985188;3664.97759840287;3685.49289177482;3692.84578910732;3741.85563623891;3821.46106263661;4147.38172722123;4435.37902964333;4704.31756122819;5108.40338585586;5587.88625565948;6219.51401630693;6623.41550847593;6805.29828755336;7296.34748425015;7453.59017220592;7514.28926301439;7835.0703131317;8349.48782019185;7796.85434394983;7660.57857291715;7230.71610832987;7442.97241093524;7862.70351931771;8316.51680867382;8445.71201168821;8276.32686747308;8389.97872278077;7983.74677607675;7963.11180852077;7791.75742548499;8020.60657401255;8311.56088840077;8540.07687802909;8591.01470912416;8744.84634619226;8641.27530944835;8554.07277616112;8803.15252917931;8804.32948764487;8954.83724534174;8943.82848255785;9346.03934316368;9535.41883036578;9805.72450610977;10293.530341463;10710.8722205603;10594.9865923924;11286.2430162457;11627.8106505917;11745.7759262897;11993.4839848731;11951.2094463497;11431.1544808449;10965.9742614391;11021.7182622703;11079.709675038;11121.7399151021;
Barbados;BRB;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;11160.3966369162;10881.1878637753;11290.0881654604;11637.6515686505;12143.4557226301;13042.0989430795;13556.1859632162;13251.1902975941;12562.8734030746;12590.8598521123;13007.9805242332;13111.5299516512;13735.5264539666;14041.60158748;14480.0503519618;14944.779328889;14396.2504215593;13783.6238330692;12950.4804363869;13004.3126643777;13214.7697372146;13427.0835291685;13903.8154046636;14501.0757419263;14977.5744794606;14965.7424080517;15570.0421707825;15146.7889908257;15214.4098015909;15494.1694097234;15658.3746240246;16216.5292067617;17102.3183903531;17402.2246142806;17446.2217713416;16492.1167966304;16056.3709766031;15900.0236759993;15787.8040183292;15533.1063398711;15484.9468972176;15836.3824984929;16202.1161947683;16254.2404265057;16136.9099326335;16099.8284121592;
Brunei Darussalam;BRN;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;45632.2466663368;43937.4687884357;50735.5767258862;54169.989767425;55768.5377360157;66019.8751942031;59413.3946135826;46170.9932631625;46590.0176345573;45496.4992969116;44489.9551564721;42601.6376823434;40284.2803244734;39943.6728806368;39251.6875894504;37740.7782163524;37080.905766838;37171.4749076551;37848.1292503919;36913.6461243111;37052.2679690634;37713.6899412144;37842.9279965812;36409.3719864638;35390.7901840577;35680.9788660012;35931.5965013377;36171.8050676004;36841.2942129897;37212.4669053931;36761.2498220737;36329.4982777345;37399.74000641;36987.8415885984;35844.4160068892;34800.5635264382;35269.5531076448;36121.891977592;35967.3283979567;34729.8266256897;33416.7818373784;32873.4670007851;31685.2254544178;31752.740813782;31436.8681969939;32327.4055097037;
Bhutan;BTN;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;390.064624576047;432.373602513006;435.852341288037;473.140226800641;481.586238679495;488.04363215967;528.860828438986;659.116769385889;671.308206591616;703.747767464415;767.611544791915;759.006910390263;794.100287777394;812.793616964697;854.160153202913;909.926158205033;948.422014303977;980.832275141018;1015.52122606212;1070.97466294271;1119.76412049589;1187.88985850948;1291.97337140733;1366.81993529366;1424.05305747583;1504.45561555708;1588.53136946711;1859.08623424394;1928.76867961222;2038.56141967339;2258.18314115595;2411.02893205206;2504.5058910519;2526.43366495453;2639.60088264112;2780.81953888315;2970.76650663428;3072.02029929191;3128.00090464634;;
