Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO,Rain
2000,Micronesia,Flood,past,0.0,0.0,3,0
2000,Middle Africa,Flood,past,11000.0,705.0,54,0
2000,Northern Africa,Flood,past,1389217.0,1838.0,57,0
2000,Northern America,Flood,past,16157330.0,308.0,74,0
2000,Northern Europe,Flood,past,14996150.0,26.0,21,0
2000,Polynesia,Flood,past,51500.0,6.0,2,0
2000,South America,Flood,past,7173200.0,3087.0,153,0
2000,South-Eastern Asia,Flood,past,5440685.0,6954.0,219,0
2000,Southern Africa,Flood,past,390804.0,303.0,29,0
2000,Southern Asia,Flood,past,20655972.0,21882.0,245,0
2000,Southern Europe,Flood,past,11187140.0,187.0,75,0
2000,Western Africa,Flood,past,203401.0,1155.0,105,0
2000,Western Asia,Flood,past,2290456.0,838.0,54,0
2000,Western Europe,Flood,past,20412350.0,96.0,39,0
2010,Australia and New Zealand,Flood,past,10825400.0,50.0,17,0
2010,Caribbean,Flood,past,165302.0,299.0,45,0
2010,Central America,Flood,past,1106313.0,714.0,70,0
2010,Central Asia,Flood,past,313636.0,162.0,21,0
2010,Eastern Africa,Flood,past,1065100.0,2833.0,130,0
2010,Eastern Asia,Flood,past,141815435.0,7640.0,127,0
2010,Eastern Europe,Flood,past,8483655.0,424.0,59,0
2010,Melanesia,Flood,past,142000.0,71.0,11,0
2010,Micronesia,Flood,past,0.0,0.0,2,0
2010,Middle Africa,Flood,past,29000.0,966.0,54,0
2010,Northern Africa,Flood,past,858100.0,909.0,39,0
2010,Northern America,Flood,past,49431000.0,283.0,47,0
2010,Northern Europe,Flood,past,6595000.0,17.0,13,0
2010,Polynesia,Flood,past,2000.0,0.0,1,0
2010,South America,Flood,past,13999100.0,3889.0,165,0
2010,South-Eastern Asia,Flood,past,54354901.0,5514.0,231,0
2010,Southern Africa,Flood,past,838000.0,364.0,22,0
2010,Southern Asia,Flood,past,67240180.0,23305.0,209,0
2010,Southern Europe,Flood,past,10399742.0,327.0,82,0
2010,Western Africa,Flood,past,1150515.0,2114.0,102,0
2010,Western Asia,Flood,past,338000.0,607.0,58,0
2010,Western Europe,Flood,past,22632146.0,121.0,23,0
2020,Australia and New Zealand,Flood,past,0.0,0.0,1,0
2020,Central America,Flood,past,0.0,14.0,2,0
2020,Central Asia,Flood,past,0.0,0.0,2,0
2020,Eastern Africa,Flood,past,0.0,518.0,17,0
2020,Eastern Asia,Flood,past,6100000.0,256.0,5,0
2020,Eastern Europe,Flood,past,0.0,3.0,2,0
2020,Melanesia,Flood,past,0.0,0.0,1,0
2020,Middle Africa,Flood,past,0.0,143.0,4,0
2020,Northern Africa,Flood,past,76000.0,130.0,2,0
2020,South America,Flood,past,157000.0,195.0,8,0
2020,South-Eastern Asia,Flood,past,28900.0,87.0,16,0
2020,Southern Asia,Flood,past,1300000.0,1870.0,20,0
2020,Southern Europe,Flood,past,28000.0,0.0,2,0
2020,Western Africa,Flood,past,0.0,63.0,3,0
2020,Western Asia,Flood,past,0.0,201.0,5,0
2020,Western Europe,Flood,past,0.0,0.0,1,0
