Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO
1990,Central America,Droughts,,1633000,430000,12
1990,Central America,Floods,,1712900,1969,39
1990,Central America,Storms,,10876710000,4965886,46
1990,Central Asia,Floods,,510956,1435,10
1990,Central Asia,Storms,,3200000,0,2
1990,Eastern Africa,Droughts,,292200,65766949,26
1990,Eastern Africa,Floods,,84298,4293,51
1990,Eastern Africa,Storms,,215315000,3483385,20
1990,Eastern Asia,Droughts,,13990300,133750000,8
1990,Eastern Asia,Floods,,113389594,19202,73
1990,Eastern Asia,Storms,,42613863000,90551884,143
1990,Eastern Europe,Droughts,,384000,0,3
1990,Eastern Europe,Floods,,7903839,650,48
1990,Eastern Europe,Storms,,423400000,28457,21
1990,Melanesia,Droughts,,0,763835,4
1990,Melanesia,Floods,,45728,2,3
1990,Melanesia,Storms,,149600000,280550,15
1990,Micronesia,Droughts,,0,112800,2
1990,Micronesia,Storms,,500000000,1400,3
1990,Middle Africa,Droughts,,0,947900,4
1990,Middle Africa,Floods,,59,146,19
1990,Northern Africa,Droughts,,900000,9635000,4
1990,Northern Africa,Floods,,531100,1970,30
1990,Northern Africa,Storms,,1000000,0,2
1990,Northern America,Droughts,,2435000,0,3
1990,Northern America,Floods,,29188700,407,57
1990,Northern America,Storms,,87724150000,3381336,175
1990,Northern Europe,Droughts,,804600,0,2
1990,Northern Europe,Floods,,1542080,21,10
1990,Northern Europe,Storms,,11434989000,1045200,39
1990,Polynesia,Storms,,482900000,262371,12
1990,Russian Federation,Floods,,2199900,21,5
1990,South America,Droughts,,887000,14414360,12
1990,South America,Floods,,6735890,31578,83
1990,South America,Storms,,158000000,598850,17
1990,South-Eastern Asia,Droughts,,662000,21844282,12
1990,South-Eastern Asia,Floods,,5104482,5337,105
1990,South-Eastern Asia,Storms,,3882897000,32727004,104
1990,Southern Africa,Droughts,,1052739,1419700,8
1990,Southern Africa,Floods,,36460,322,10
1990,Southern Africa,Storms,,583000000,13230,8
1990,Southern Asia,Droughts,,4089400,40375000,4
1990,Southern Asia,Floods,,21890422,26275,152
1990,Southern Asia,Storms,,10806236000,53579349,87
1990,Southern Europe,Droughts,,10510000,6010000,7
1990,Southern Europe,Floods,,12234700,166,22
1990,Southern Europe,Storms,,1257000000,2410,15
1990,Western Africa,Droughts,,0,5114697,11
1990,Western Africa,Floods,,103315,564,41
1990,Western Africa,Storms,,0,67575,8
1990,Western Asia,Droughts,,75000,509000,5
1990,Western Asia,Floods,,2582020,767,30
1990,Western Asia,Storms,,155000000,100000,5
1990,Western Europe,Droughts,,10000,0,2
1990,Western Europe,Floods,,4415900,97,32
1990,Western Europe,Storms,,30994156000,3791150,80
2000,Australia and New Zealand,Droughts,,2000000,0,2
2000,Australia and New Zealand,Floods,,4514000,38,27
2000,Australia and New Zealand,Storms,,2156954000,36065,30
2000,Caribbean,Droughts,,9139,35000,4
2000,Caribbean,Floods,,264623,3651,40
2000,Caribbean,Storms,,16949725000,11133253,94
2000,Central America,Droughts,,273400,3662221,12
2000,Central America,Floods,,3266147,748,86
2000,Central America,Storms,,12945286000,5538653,63
2000,Central Asia,Droughts,,107000,6400000,4
2000,Central Asia,Floods,,227858,93,19
2000,Central Asia,Storms,,234000,9905,2
2000,Eastern Africa,Droughts,,0,78608475,43
2000,Eastern Africa,Floods,,1070438,3947,170
2000,Eastern Africa,Storms,,689381000,3553016,50
2000,Eastern Asia,Droughts,,8750115,241974000,18
2000,Eastern Asia,Floods,,48589310,7381,135
2000,Eastern Asia,Storms,,72965989000,285652756,177
2000,Eastern Europe,Droughts,,1006000,1210394,6
2000,Eastern Europe,Floods,,8212684,713,102
2000,Eastern Europe,Storms,,1051300000,2685508,45
2000,Melanesia,Floods,,80747,49,16
2000,Melanesia,Storms,,117952000,256002,16
2000,Micronesia,Floods,,0,0,3
2000,Micronesia,Storms,,131500000,17844,10
2000,Middle Africa,Droughts,,0,3225000,6
2000,Middle Africa,Floods,,11000,705,54
2000,Middle Africa,Storms,,0,84137,10
2000,Northern Africa,Droughts,,0,6300000,2
2000,Northern Africa,Floods,,1389217,1838,57
2000,Northern Africa,Storms,,50000,0,6
2000,Northern America,Droughts,,4700000,0,4
2000,Northern America,Floods,,16157330,308,74
2000,Northern America,Storms,,310793430000,8598737,139
2000,Northern Europe,Droughts,,225573,0,1
2000,Northern Europe,Floods,,14996150,26,21
2000,Northern Europe,Storms,,8715050000,23580,24
2000,Polynesia,Floods,,51500,6,2
2000,Polynesia,Storms,,241300000,38044,10
2000,South America,Droughts,,1771700,2502490,18
2000,South America,Floods,,7173200,3087,153
2000,South America,Storms,,390000000,320158,27
2000,South-Eastern Asia,Droughts,,703873,18275000,12
2000,South-Eastern Asia,Floods,,5440685,6954,219
2000,South-Eastern Asia,Storms,,9136911000,53391742,137
2000,Southern Africa,Droughts,,0,17700000,7
2000,Southern Africa,Floods,,390804,303,29
2000,Southern Africa,Storms,,29041000,114475,17
2000,Southern Asia,Droughts,,1498772,356263000,10
