,UN_Geosheme_Subregion,Decade,RCP,DO,°C,Disaster_Type,Human_Impact,Financial_Impact
83,Central America,2060,8.5,26,27,Storms,12168,48282000
84,Central America,2070,2.6,50,26,Storms,23400,92850000
85,Central America,2070,4.5,49,26,Storms,22932,90993000
86,Central America,2070,6.0,42,27,Storms,19656,77994000
87,Central America,2070,8.5,25,28,Storms,11700,46425000
88,Central America,2080,2.6,50,26,Storms,23400,92850000
89,Central America,2080,4.5,50,26,Storms,23400,92850000
90,Central America,2080,6.0,38,27,Storms,17784,70566000
91,Central America,2080,8.5,34,28,Storms,15912,63138000
92,Central America,2090,2.6,50,26,Storms,23400,92850000
93,Central America,2090,4.5,50,26,Storms,23400,92850000
94,Central America,2090,6.0,38,27,Storms,17784,70566000
95,Central America,2090,8.5,34,28,Storms,15912,63138000
96,Central Asia,2020,2.6,13,10,Storms,12870,2964000
97,Central Asia,2020,4.5,13,10,Storms,12870,2964000
98,Central Asia,2020,6.0,13,10,Storms,12870,2964000
99,Central Asia,2020,8.5,14,10,Storms,13860,3192000
100,Central Asia,2030,2.6,14,10,Storms,13860,3192000
101,Central Asia,2030,4.5,14,10,Storms,13860,3192000
102,Central Asia,2030,6.0,14,10,Storms,13860,3192000
103,Central Asia,2030,8.5,12,11,Storms,11880,2736000
104,Central Asia,2040,2.6,15,10,Storms,14850,3420000
105,Central Asia,2040,4.5,11,11,Storms,10890,2508000
106,Central Asia,2040,6.0,16,10,Storms,15840,3648000
107,Central Asia,2040,8.5,10,11,Storms,9900,2280000
108,Central Asia,2050,2.6,15,10,Storms,14850,3420000
109,Central Asia,2050,4.5,11,11,Storms,10890,2508000
110,Central Asia,2050,6.0,13,11,Storms,12870,2964000
111,Central Asia,2050,8.5,9,12,Storms,8910,2052000
112,Central Asia,2060,2.6,14,10,Storms,13860,3192000
113,Central Asia,2060,4.5,10,11,Storms,9900,2280000
114,Central Asia,2060,6.0,10,11,Storms,9900,2280000
115,Central Asia,2060,8.5,9,12,Storms,8910,2052000
116,Central Asia,2070,2.6,14,10,Storms,13860,3192000
117,Central Asia,2070,4.5,10,11,Storms,9900,2280000
118,Central Asia,2070,6.0,9,11,Storms,8910,2052000
119,Central Asia,2070,8.5,7,13,Storms,6930,1596000
120,Central Asia,2080,2.6,14,10,Storms,13860,3192000
121,Central Asia,2080,4.5,10,11,Storms,9900,2280000
122,Central Asia,2080,6.0,9,12,Storms,8910,2052000
123,Central Asia,2080,8.5,11,14,Storms,10890,2508000
124,Central Asia,2090,2.6,14,10,Storms,13860,3192000
125,Central Asia,2090,4.5,10,11,Storms,9900,2280000
126,Central Asia,2090,6.0,9,12,Storms,8910,2052000
127,Central Asia,2090,8.5,11,14,Storms,10890,2508000
128,Eastern Africa,2020,2.6,50,24,Storms,57950,29350000
129,Eastern Africa,2020,4.5,60,24,Storms,69540,35220000
130,Eastern Africa,2020,6.0,55,24,Storms,63745,32285000
131,Eastern Africa,2020,8.5,60,24,Storms,69540,35220000
132,Eastern Africa,2030,2.6,58,24,Storms,67222,34046000
133,Eastern Africa,2030,4.5,62,24,Storms,71858,36394000
134,Eastern Africa,2030,6.0,62,24,Storms,71858,36394000
135,Eastern Africa,2030,8.5,53,24,Storms,61427,31111000
136,Eastern Africa,2040,2.6,60,24,Storms,69540,35220000
137,Eastern Africa,2040,4.5,55,24,Storms,63745,32285000
138,Eastern Africa,2040,6.0,58,24,Storms,67222,34046000
139,Eastern Africa,2040,8.5,37,25,Storms,42883,21719000
140,Eastern Africa,2050,2.6,61,24,Storms,70699,35807000
141,Eastern Africa,2050,4.5,40,25,Storms,46360,23480000
142,Eastern Africa,2050,6.0,46,25,Storms,53314,27002000
143,Eastern Africa,2050,8.5,38,25,Storms,44042,22306000
144,Eastern Africa,2060,2.6,61,24,Storms,70699,35807000
145,Eastern Africa,2060,4.5,31,25,Storms,35929,18197000
146,Eastern Africa,2060,6.0,34,25,Storms,39406,19958000
147,Eastern Africa,2060,8.5,31,26,Storms,35929,18197000
148,Eastern Africa,2070,2.6,62,24,Storms,71858,36394000
149,Eastern Africa,2070,4.5,39,25,Storms,45201,22893000
150,Eastern Africa,2070,6.0,40,25,Storms,46360,23480000
151,Eastern Africa,2070,8.5,28,26,Storms,32452,16436000
152,Eastern Africa,2080,2.6,62,24,Storms,71858,36394000
153,Eastern Africa,2080,4.5,36,25,Storms,41724,21132000
154,Eastern Africa,2080,6.0,47,25,Storms,54473,27589000
155,Eastern Africa,2080,8.5,21,27,Storms,24339,12327000
156,Eastern Africa,2090,2.6,62,24,Storms,71858,36394000
157,Eastern Africa,2090,4.5,36,25,Storms,41724,21132000
158,Eastern Africa,2090,6.0,47,25,Storms,54473,27589000
159,Eastern Africa,2090,8.5,21,27,Storms,24339,12327000
160,Eastern Asia,2020,2.6,49,14,Storms,91924,40768000
161,Eastern Asia,2020,4.5,74,13,Storms,138824,61568000
162,Eastern Asia,2020,6.0,74,13,Storms,138824,61568000
163,Eastern Asia,2020,8.5,78,13,Storms,146328,64896000
164,Eastern Asia,2030,2.6,49,14,Storms,91924,40768000
165,Eastern Asia,2030,4.5,77,13,Storms,144452,64064000
166,Eastern Asia,2030,6.0,79,13,Storms,148204,65728000
167,Eastern Asia,2030,8.5,78,14,Storms,146328,64896000
168,Eastern Asia,2040,2.6,77,13,Storms,144452,64064000
169,Eastern Asia,2040,4.5,79,14,Storms,148204,65728000
170,Eastern Asia,2040,6.0,77,13,Storms,144452,64064000
171,Eastern Asia,2040,8.5,99,14,Storms,185724,82368000
172,Eastern Asia,2050,2.6,77,13,Storms,144452,64064000
173,Eastern Asia,2050,4.5,104,14,Storms,195104,86528000
174,Eastern Asia,2050,6.0,78,14,Storms,146328,64896000
175,Eastern Asia,2050,8.5,102,15,Storms,191352,84864000
176,Eastern Asia,2060,2.6,77,13,Storms,144452,64064000
177,Eastern Asia,2060,4.5,98,14,Storms,183848,81536000
178,Eastern Asia,2060,6.0,98,14,Storms,183848,81536000
179,Eastern Asia,2060,8.5,70,15,Storms,131320,58240000
180,Eastern Asia,2070,2.6,78,13,Storms,146328,64896000
181,Eastern Asia,2070,4.5,99,14,Storms,185724,82368000
182,Eastern Asia,2070,6.0,97,14,Storms,181972,80704000
183,Eastern Asia,2070,8.5,81,16,Storms,151956,67392000
184,Eastern Asia,2080,2.6,49,14,Storms,91924,40768000
185,Eastern Asia,2080,4.5,97,14,Storms,181972,80704000
186,Eastern Asia,2080,6.0,102,15,Storms,191352,84864000
187,Eastern Asia,2080,8.5,86,16,Storms,161336,71552000
188,Eastern Asia,2090,2.6,49,14,Storms,91924,40768000
189,Eastern Asia,2090,4.5,97,14,Storms,181972,80704000
190,Eastern Asia,2090,6.0,102,15,Storms,191352,84864000
191,Eastern Asia,2090,8.5,86,16,Storms,161336,71552000
