,UN_Geosheme_Subregion,Decade,DO,Human_Impact,Financial_Impact,°C,RCP,Disaster_Type
103,Northern Europe,2010,15,38300,1300500,7,,Storms
104,Northern Europe,2020,2,0,0,7,,Storms
105,Polynesia,1910,1,0,0,26,,Storms
106,Polynesia,1920,1,0,0,26,,Storms
107,Polynesia,1940,3,0,0,26,,Storms
108,Polynesia,1950,2,1600,1500,24,,Storms
109,Polynesia,1960,11,107000,1379,26,,Storms
110,Polynesia,1970,3,11400,1600,26,,Storms
111,Polynesia,1980,13,114200,136900,26,,Storms
112,Polynesia,1990,12,262371,482900,27,,Storms
113,Polynesia,2000,10,38044,241300,27,,Storms
114,Polynesia,2010,12,115552,178000,26,,Storms
115,Polynesia,2020,2,1289,111000,26,,Storms
116,South America,1940,1,0,0,24,,Storms
117,South America,1950,1,0,0,25,,Storms
118,South America,1960,5,1020,50,17,,Storms
119,South America,1970,7,190000,9300,13,,Storms
120,South America,1980,14,413054,62500,19,,Storms
121,South America,1990,17,598850,158000,17,,Storms
122,South America,2000,27,320158,390000,19,,Storms
123,South America,2010,16,123874,150200,20,,Storms
124,South America,2020,1,1119,0,19,,Storms
125,South-Eastern Asia,1900,2,0,0,23,,Storms
126,South-Eastern Asia,1910,1,0,10000,25,,Storms
127,South-Eastern Asia,1920,2,0,0,23,,Storms
128,South-Eastern Asia,1930,8,0,0,25,,Storms
129,South-Eastern Asia,1940,3,0,0,25,,Storms
130,South-Eastern Asia,1950,14,60000,50000,25,,Storms
131,South-Eastern Asia,1960,25,3596774,192800,24,,Storms
132,South-Eastern Asia,1970,59,11196947,771535,25,,Storms
133,South-Eastern Asia,1980,82,46659722,2091484,25,,Storms
134,South-Eastern Asia,1990,104,32727004,3882897,25,,Storms
135,South-Eastern Asia,2000,137,53391742,9136911,25,,Storms
136,South-Eastern Asia,2010,132,88066955,22331107,25,,Storms
137,South-Eastern Asia,2020,4,335135,32500,24,,Storms
138,Southern Africa,1950,1,0,0,17,,Storms
139,Southern Africa,1980,5,1132000,196152,17,,Storms
140,Southern Africa,1990,8,13230,583000,16,,Storms
141,Southern Africa,2000,17,114475,29041,17,,Storms
142,Southern Africa,2010,9,19744,613000,17,,Storms
143,Southern Asia,1900,3,0,0,24,,Storms
144,Southern Asia,1910,3,0,0,24,,Storms
145,Southern Asia,1920,8,1040000,0,23,,Storms
146,Southern Asia,1930,5,0,0,23,,Storms
147,Southern Asia,1940,10,30000,0,23,,Storms
148,Southern Asia,1950,12,2270000,0,24,,Storms
149,Southern Asia,1960,30,19100985,206009,24,,Storms
150,Southern Asia,1970,50,25408457,1244692,24,,Storms
151,Southern Asia,1980,64,31799560,1727163,23,,Storms
152,Southern Asia,1990,87,53579349,10806236,23,,Storms
153,Southern Asia,2000,86,20865718,4564656,23,,Storms
154,Southern Asia,2010,91,44853044,15446881,24,,Storms
155,Southern Asia,2020,7,16116041,15665000,24,,Storms
156,Southern Europe,1930,1,0,0,14,,Storms
157,Southern Europe,1940,2,0,0,12,,Storms
158,Southern Europe,1950,1,0,0,13,,Storms
159,Southern Europe,1960,2,0,0,12,,Storms
160,Southern Europe,1970,8,5200,539200,12,,Storms
161,Southern Europe,1980,10,60000,2562700,13,,Storms
162,Southern Europe,1990,15,2410,1257000,13,,Storms
163,Southern Europe,2000,23,534550,3254000,12,,Storms
164,Southern Europe,2010,25,11242,4197000,14,,Storms
165,Southern Europe,2020,3,0,0,13,,Storms
166,Western Africa,1960,1,0,200,27,,Storms
167,Western Africa,1970,2,10000,3600,26,,Storms
168,Western Africa,1980,4,7600,3000,24,,Storms
169,Western Africa,1990,8,67575,0,27,,Storms
170,Western Africa,2000,11,19025,0,27,,Storms
171,Western Africa,2010,8,44541,2100,26,,Storms
172,Western Asia,1960,2,15000,2300,10,,Storms
173,Western Asia,1970,3,5000,0,20,,Storms
174,Western Asia,1980,3,0,0,24,,Storms
175,Western Asia,1990,5,100000,155000,15,,Storms
176,Western Asia,2000,19,23360,3963750,17,,Storms
177,Western Asia,2010,28,3327453,2223822,19,,Storms
178,Western Asia,2020,2,45300,580000,18,,Storms
179,Western Europe,1920,1,0,55000,9,,Storms
180,Western Europe,1930,1,0,0,10,,Storms
181,Western Europe,1950,1,0,25000,9,,Storms
182,Western Europe,1960,6,0,651000,10,,Storms
183,Western Europe,1970,10,0,1742000,8,,Storms
184,Western Europe,1980,32,140,3257500,8,,Storms
185,Western Europe,1990,80,3791150,30994156,9,,Storms
186,Western Europe,2000,52,4450,18666050,9,,Storms
187,Western Europe,2010,56,503825,14361686,9,,Storms
188,Western Europe,2020,4,0,0,9,,Storms
