Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
112.87457, 2080-2099, miroc_esm_chem, Nov Average, France, FRA
108.17044, 2080-2099, miroc_esm_chem, Dec Average, France, FRA
93.95868, 2080-2099, miroc5, Jan Average, France, FRA
86.40598, 2080-2099, miroc5, Feb Average, France, FRA
90.32654, 2080-2099, miroc5, Mar Average, France, FRA
70.75805, 2080-2099, miroc5, Apr Average, France, FRA
89.62239, 2080-2099, miroc5, May Average, France, FRA
85.73558, 2080-2099, miroc5, Jun Average, France, FRA
82.054565, 2080-2099, miroc5, Jul Average, France, FRA
97.397316, 2080-2099, miroc5, Aug Average, France, FRA
82.66317, 2080-2099, miroc5, Sep Average, France, FRA
107.88003, 2080-2099, miroc5, Oct Average, France, FRA
96.655876, 2080-2099, miroc5, Nov Average, France, FRA
90.07876, 2080-2099, miroc5, Dec Average, France, FRA
104.17938, 2080-2099, mri_cgcm3, Jan Average, France, FRA
92.020424, 2080-2099, mri_cgcm3, Feb Average, France, FRA
91.253654, 2080-2099, mri_cgcm3, Mar Average, France, FRA
77.92819, 2080-2099, mri_cgcm3, Apr Average, France, FRA
78.251816, 2080-2099, mri_cgcm3, May Average, France, FRA
77.1669, 2080-2099, mri_cgcm3, Jun Average, France, FRA
69.70637, 2080-2099, mri_cgcm3, Jul Average, France, FRA
72.79189, 2080-2099, mri_cgcm3, Aug Average, France, FRA
90.40479, 2080-2099, mri_cgcm3, Sep Average, France, FRA
112.38939, 2080-2099, mri_cgcm3, Oct Average, France, FRA
108.143135, 2080-2099, mri_cgcm3, Nov Average, France, FRA
101.218216, 2080-2099, mri_cgcm3, Dec Average, France, FRA
98.50821, 2080-2099, noresm1_m, Jan Average, France, FRA
77.71729, 2080-2099, noresm1_m, Feb Average, France, FRA
73.966446, 2080-2099, noresm1_m, Mar Average, France, FRA
60.147648, 2080-2099, noresm1_m, Apr Average, France, FRA
66.28285, 2080-2099, noresm1_m, May Average, France, FRA
70.15178, 2080-2099, noresm1_m, Jun Average, France, FRA
51.230206, 2080-2099, noresm1_m, Jul Average, France, FRA
56.024395, 2080-2099, noresm1_m, Aug Average, France, FRA
50.508965, 2080-2099, noresm1_m, Sep Average, France, FRA
72.27472, 2080-2099, noresm1_m, Oct Average, France, FRA
96.52665, 2080-2099, noresm1_m, Nov Average, France, FRA
101.22367, 2080-2099, noresm1_m, Dec Average, France, FRA
-14.027172, 2080-2099, Ensemble (10th Percentile), Jan Average, France, FRA
-16.844637, 2080-2099, Ensemble (10th Percentile), Feb Average, France, FRA
-20.880558, 2080-2099, Ensemble (10th Percentile), Mar Average, France, FRA
-26.463326, 2080-2099, Ensemble (10th Percentile), Apr Average, France, FRA
-45.620132, 2080-2099, Ensemble (10th Percentile), May Average, France, FRA
-38.001686, 2080-2099, Ensemble (10th Percentile), Jun Average, France, FRA
-45.107124, 2080-2099, Ensemble (10th Percentile), Jul Average, France, FRA
-32.27978, 2080-2099, Ensemble (10th Percentile), Aug Average, France, FRA
-37.905254, 2080-2099, Ensemble (10th Percentile), Sep Average, France, FRA
-19.59428, 2080-2099, Ensemble (10th Percentile), Oct Average, France, FRA
-21.365055, 2080-2099, Ensemble (10th Percentile), Nov Average, France, FRA
-20.024216, 2080-2099, Ensemble (10th Percentile), Dec Average, France, FRA
6.8374124, 2080-2099, Ensemble (50th Percentile), Jan Average, France, FRA
-0.6729758, 2080-2099, Ensemble (50th Percentile), Feb Average, France, FRA
1.1039071, 2080-2099, Ensemble (50th Percentile), Mar Average, France, FRA
-7.294561, 2080-2099, Ensemble (50th Percentile), Apr Average, France, FRA
-15.664807, 2080-2099, Ensemble (50th Percentile), May Average, France, FRA
-19.419376, 2080-2099, Ensemble (50th Percentile), Jun Average, France, FRA
-16.53505, 2080-2099, Ensemble (50th Percentile), Jul Average, France, FRA
-12.573705, 2080-2099, Ensemble (50th Percentile), Aug Average, France, FRA
-13.180315, 2080-2099, Ensemble (50th Percentile), Sep Average, France, FRA
-4.748546, 2080-2099, Ensemble (50th Percentile), Oct Average, France, FRA
-3.4103699, 2080-2099, Ensemble (50th Percentile), Nov Average, France, FRA
1.6723497, 2080-2099, Ensemble (50th Percentile), Dec Average, France, FRA
24.351665, 2080-2099, Ensemble (90th Percentile), Jan Average, France, FRA
22.656485, 2080-2099, Ensemble (90th Percentile), Feb Average, France, FRA
19.872984, 2080-2099, Ensemble (90th Percentile), Mar Average, France, FRA
2.5251243, 2080-2099, Ensemble (90th Percentile), Apr Average, France, FRA
4.400017, 2080-2099, Ensemble (90th Percentile), May Average, France, FRA
0.41180205, 2080-2099, Ensemble (90th Percentile), Jun Average, France, FRA
4.2312417, 2080-2099, Ensemble (90th Percentile), Jul Average, France, FRA
6.9550037, 2080-2099, Ensemble (90th Percentile), Aug Average, France, FRA
2.241972, 2080-2099, Ensemble (90th Percentile), Sep Average, France, FRA
11.219088, 2080-2099, Ensemble (90th Percentile), Oct Average, France, FRA
26.227331, 2080-2099, Ensemble (90th Percentile), Nov Average, France, FRA
33.62456, 2080-2099, Ensemble (90th Percentile), Dec Average, France, FRA
