Rainfall - (MM), Year, Statistics, Country, ISO3
86.3094, 1936, Sep Average, France, FRA
44.2411, 1936, Oct Average, France, FRA
76.3859, 1936, Nov Average, France, FRA
38.5508, 1936, Dec Average, France, FRA
83.5588, 1937, Jan Average, France, FRA
107.378, 1937, Feb Average, France, FRA
119.079, 1937, Mar Average, France, FRA
80.2778, 1937, Apr Average, France, FRA
79.7445, 1937, May Average, France, FRA
73.719, 1937, Jun Average, France, FRA
25.7017, 1937, Jul Average, France, FRA
44.0322, 1937, Aug Average, France, FRA
82.9253, 1937, Sep Average, France, FRA
85.1782, 1937, Oct Average, France, FRA
57.3968, 1937, Nov Average, France, FRA
80.8171, 1937, Dec Average, France, FRA
79.3888, 1938, Jan Average, France, FRA
25.6413, 1938, Feb Average, France, FRA
12.7596, 1938, Mar Average, France, FRA
12.4664, 1938, Apr Average, France, FRA
83.2545, 1938, May Average, France, FRA
49.8359, 1938, Jun Average, France, FRA
71.6084, 1938, Jul Average, France, FRA
78.2588, 1938, Aug Average, France, FRA
85.4697, 1938, Sep Average, France, FRA
68.1052, 1938, Oct Average, France, FRA
81.9262, 1938, Nov Average, France, FRA
82.7845, 1938, Dec Average, France, FRA
102.907, 1939, Jan Average, France, FRA
46.1922, 1939, Feb Average, France, FRA
61.7204, 1939, Mar Average, France, FRA
74.4679, 1939, Apr Average, France, FRA
69.2802, 1939, May Average, France, FRA
81.4449, 1939, Jun Average, France, FRA
65.7882, 1939, Jul Average, France, FRA
89.3132, 1939, Aug Average, France, FRA
65.4197, 1939, Sep Average, France, FRA
140.283, 1939, Oct Average, France, FRA
93.5717, 1939, Nov Average, France, FRA
70.1138, 1939, Dec Average, France, FRA
58.1552, 1940, Jan Average, France, FRA
63.6455, 1940, Feb Average, France, FRA
57.7055, 1940, Mar Average, France, FRA
84.0595, 1940, Apr Average, France, FRA
67.6376, 1940, May Average, France, FRA
75.3762, 1940, Jun Average, France, FRA
89.7088, 1940, Jul Average, France, FRA
29.5059, 1940, Aug Average, France, FRA
97.0168, 1940, Sep Average, France, FRA
92.1075, 1940, Oct Average, France, FRA
97.452, 1940, Nov Average, France, FRA
78.7793, 1940, Dec Average, France, FRA
104.533, 1941, Jan Average, France, FRA
88.3988, 1941, Feb Average, France, FRA
63.4778, 1941, Mar Average, France, FRA
64.3668, 1941, Apr Average, France, FRA
85.1064, 1941, May Average, France, FRA
87.6757, 1941, Jun Average, France, FRA
62.4496, 1941, Jul Average, France, FRA
102.804, 1941, Aug Average, France, FRA
53.8032, 1941, Sep Average, France, FRA
49.7335, 1941, Oct Average, France, FRA
83.7934, 1941, Nov Average, France, FRA
38.3461, 1941, Dec Average, France, FRA
83.2349, 1942, Jan Average, France, FRA
37.8722, 1942, Feb Average, France, FRA
62.0706, 1942, Mar Average, France, FRA
60.2834, 1942, Apr Average, France, FRA
73.5353, 1942, May Average, France, FRA
57.2422, 1942, Jun Average, France, FRA
53.9325, 1942, Jul Average, France, FRA
55.714, 1942, Aug Average, France, FRA
92.0972, 1942, Sep Average, France, FRA
85.8223, 1942, Oct Average, France, FRA
37.2429, 1942, Nov Average, France, FRA
69.684, 1942, Dec Average, France, FRA
83.9641, 1943, Jan Average, France, FRA
35.9274, 1943, Feb Average, France, FRA
30.2072, 1943, Mar Average, France, FRA
35.4601, 1943, Apr Average, France, FRA
73.4442, 1943, May Average, France, FRA
46.5417, 1943, Jun Average, France, FRA
60.2364, 1943, Jul Average, France, FRA
62.1783, 1943, Aug Average, France, FRA
94.4735, 1943, Sep Average, France, FRA
71.4855, 1943, Oct Average, France, FRA
86.8538, 1943, Nov Average, France, FRA
64.3767, 1943, Dec Average, France, FRA
35.0631, 1944, Jan Average, France, FRA
57.3107, 1944, Feb Average, France, FRA
14.8335, 1944, Mar Average, France, FRA
50.7373, 1944, Apr Average, France, FRA
32.2663, 1944, May Average, France, FRA
59.1572, 1944, Jun Average, France, FRA
70.289, 1944, Jul Average, France, FRA
71.9503, 1944, Aug Average, France, FRA
89.0981, 1944, Sep Average, France, FRA
110.524, 1944, Oct Average, France, FRA
110.769, 1944, Nov Average, France, FRA
86.0232, 1944, Dec Average, France, FRA
69.4218, 1945, Jan Average, France, FRA
39.6146, 1945, Feb Average, France, FRA
30.0222, 1945, Mar Average, France, FRA
30.0516, 1945, Apr Average, France, FRA
77.4544, 1945, May Average, France, FRA
32.7219, 1945, Jun Average, France, FRA
34.5976, 1945, Jul Average, France, FRA
81.863, 1945, Aug Average, France, FRA
57.2539, 1945, Sep Average, France, FRA
50.0303, 1945, Oct Average, France, FRA
34.661, 1945, Nov Average, France, FRA
101.923, 1945, Dec Average, France, FRA
46.5505, 1946, Jan Average, France, FRA
64.8261, 1946, Feb Average, France, FRA
47.6934, 1946, Mar Average, France, FRA
59.0875, 1946, Apr Average, France, FRA
106.259, 1946, May Average, France, FRA
74.8517, 1946, Jun Average, France, FRA
32.8071, 1946, Jul Average, France, FRA
80.2335, 1946, Aug Average, France, FRA
50.1321, 1946, Sep Average, France, FRA
50.9828, 1946, Oct Average, France, FRA
61.3785, 1946, Nov Average, France, FRA
69.7103, 1946, Dec Average, France, FRA
48.2059, 1947, Jan Average, France, FRA
76.6085, 1947, Feb Average, France, FRA
102.128, 1947, Mar Average, France, FRA
33.543, 1947, Apr Average, France, FRA
57.038, 1947, May Average, France, FRA
52.8612, 1947, Jun Average, France, FRA
48.523, 1947, Jul Average, France, FRA
55.86, 1947, Aug Average, France, FRA
51.9006, 1947, Sep Average, France, FRA
54.3176, 1947, Oct Average, France, FRA
73.4034, 1947, Nov Average, France, FRA
88.3364, 1947, Dec Average, France, FRA
123.593, 1948, Jan Average, France, FRA
31.7887, 1948, Feb Average, France, FRA
28.1906, 1948, Mar Average, France, FRA
80.2106, 1948, Apr Average, France, FRA
85.2433, 1948, May Average, France, FRA
70.8386, 1948, Jun Average, France, FRA
55.6142, 1948, Jul Average, France, FRA
89.2642, 1948, Aug Average, France, FRA
66.4406, 1948, Sep Average, France, FRA
48.3262, 1948, Oct Average, France, FRA
38.8439, 1948, Nov Average, France, FRA
53.6427, 1948, Dec Average, France, FRA
35.8718, 1949, Jan Average, France, FRA
15.594, 1949, Feb Average, France, FRA
45.144, 1949, Mar Average, France, FRA
38.8846, 1949, Apr Average, France, FRA
93.2593, 1949, May Average, France, FRA
35.3776, 1949, Jun Average, France, FRA
18.2613, 1949, Jul Average, France, FRA
43.9241, 1949, Aug Average, France, FRA
69.8167, 1949, Sep Average, France, FRA
61.6876, 1949, Oct Average, France, FRA
112.328, 1949, Nov Average, France, FRA
64.3679, 1949, Dec Average, France, FRA
33.8604, 1950, Jan Average, France, FRA
91.7067, 1950, Feb Average, France, FRA
32.3088, 1950, Mar Average, France, FRA
70.2726, 1950, Apr Average, France, FRA
68.1093, 1950, May Average, France, FRA
46.4319, 1950, Jun Average, France, FRA
46.8158, 1950, Jul Average, France, FRA
85.1961, 1950, Aug Average, France, FRA
70.5739, 1950, Sep Average, France, FRA
39.5662, 1950, Oct Average, France, FRA
122.309, 1950, Nov Average, France, FRA
90.9517, 1950, Dec Average, France, FRA
71.1407, 1951, Jan Average, France, FRA
96.166, 1951, Feb Average, France, FRA
90.5294, 1951, Mar Average, France, FRA
57.0734, 1951, Apr Average, France, FRA
116.858, 1951, May Average, France, FRA
98.7193, 1951, Jun Average, France, FRA
50.0362, 1951, Jul Average, France, FRA
101.373, 1951, Aug Average, France, FRA
69.0705, 1951, Sep Average, France, FRA
62.6311, 1951, Oct Average, France, FRA
125.168, 1951, Nov Average, France, FRA
55.9086, 1951, Dec Average, France, FRA
83.463, 1952, Jan Average, France, FRA
48.715, 1952, Feb Average, France, FRA
77.4075, 1952, Mar Average, France, FRA
43.9744, 1952, Apr Average, France, FRA
54.3742, 1952, May Average, France, FRA
35.8774, 1952, Jun Average, France, FRA
32.9987, 1952, Jul Average, France, FRA
81.1756, 1952, Aug Average, France, FRA
102.069, 1952, Sep Average, France, FRA
113.737, 1952, Oct Average, France, FRA
112.265, 1952, Nov Average, France, FRA
107.542, 1952, Dec Average, France, FRA
18.2457, 1953, Jan Average, France, FRA
35.4874, 1953, Feb Average, France, FRA
6.47304, 1953, Mar Average, France, FRA
57.8147, 1953, Apr Average, France, FRA
38.7869, 1953, May Average, France, FRA
113.568, 1953, Jun Average, France, FRA
69.7746, 1953, Jul Average, France, FRA
37.549, 1953, Aug Average, France, FRA
90.2548, 1953, Sep Average, France, FRA
72.1553, 1953, Oct Average, France, FRA
22.7574, 1953, Nov Average, France, FRA
35.5833, 1953, Dec Average, France, FRA
45.9521, 1954, Jan Average, France, FRA
62.3491, 1954, Feb Average, France, FRA
74.6984, 1954, Mar Average, France, FRA
42.7904, 1954, Apr Average, France, FRA
65.8643, 1954, May Average, France, FRA
57.9451, 1954, Jun Average, France, FRA
53.1109, 1954, Jul Average, France, FRA
109.609, 1954, Aug Average, France, FRA
79.1602, 1954, Sep Average, France, FRA
53.7354, 1954, Oct Average, France, FRA
66.6116, 1954, Nov Average, France, FRA
80.5585, 1954, Dec Average, France, FRA
138.325, 1955, Jan Average, France, FRA
97.7268, 1955, Feb Average, France, FRA
32.8413, 1955, Mar Average, France, FRA
7.06524, 1955, Apr Average, France, FRA
60.7097, 1955, May Average, France, FRA
101.071, 1955, Jun Average, France, FRA
65.0951, 1955, Jul Average, France, FRA
43.5696, 1955, Aug Average, France, FRA
50.386, 1955, Sep Average, France, FRA
59.6676, 1955, Oct Average, France, FRA
44.6897, 1955, Nov Average, France, FRA
94.1977, 1955, Dec Average, France, FRA
80.0701, 1956, Jan Average, France, FRA
23.1475, 1956, Feb Average, France, FRA
56.6697, 1956, Mar Average, France, FRA
69.1434, 1956, Apr Average, France, FRA
63.1748, 1956, May Average, France, FRA
58.3176, 1956, Jun Average, France, FRA
82.4611, 1956, Jul Average, France, FRA
97.4649, 1956, Aug Average, France, FRA
93.8229, 1956, Sep Average, France, FRA
61.3855, 1956, Oct Average, France, FRA
44.2951, 1956, Nov Average, France, FRA
45.216, 1956, Dec Average, France, FRA
34.7416, 1957, Jan Average, France, FRA
114.303, 1957, Feb Average, France, FRA
35.9831, 1957, Mar Average, France, FRA
55.5133, 1957, Apr Average, France, FRA
59.6161, 1957, May Average, France, FRA
108.147, 1957, Jun Average, France, FRA
66.7874, 1957, Jul Average, France, FRA
61.6825, 1957, Aug Average, France, FRA
69.2044, 1957, Sep Average, France, FRA
33.8365, 1957, Oct Average, France, FRA
64.5001, 1957, Nov Average, France, FRA
69.8904, 1957, Dec Average, France, FRA
87.119, 1958, Jan Average, France, FRA
77.1468, 1958, Feb Average, France, FRA
66.708, 1958, Mar Average, France, FRA
52.4569, 1958, Apr Average, France, FRA
85.7793, 1958, May Average, France, FRA
88.2746, 1958, Jun Average, France, FRA
73.8758, 1958, Jul Average, France, FRA
86.2681, 1958, Aug Average, France, FRA
78.3992, 1958, Sep Average, France, FRA
66.4952, 1958, Oct Average, France, FRA
68.0306, 1958, Nov Average, France, FRA
115.01, 1958, Dec Average, France, FRA
75.8125, 1959, Jan Average, France, FRA
20.1695, 1959, Feb Average, France, FRA
82.3395, 1959, Mar Average, France, FRA
88.7349, 1959, Apr Average, France, FRA
49.6608, 1959, May Average, France, FRA
64.733, 1959, Jun Average, France, FRA
30.9002, 1959, Jul Average, France, FRA
63.4209, 1959, Aug Average, France, FRA
49.8981, 1959, Sep Average, France, FRA
92.604, 1959, Oct Average, France, FRA
74.5361, 1959, Nov Average, France, FRA
127.602, 1959, Dec Average, France, FRA
70.7891, 1960, Jan Average, France, FRA
72.3629, 1960, Feb Average, France, FRA
83.3964, 1960, Mar Average, France, FRA
22.9467, 1960, Apr Average, France, FRA
54.325, 1960, May Average, France, FRA
68.9428, 1960, Jun Average, France, FRA
85.2768, 1960, Jul Average, France, FRA
106.307, 1960, Aug Average, France, FRA
109.078, 1960, Sep Average, France, FRA
163.311, 1960, Oct Average, France, FRA
104.359, 1960, Nov Average, France, FRA
98.6424, 1960, Dec Average, France, FRA
