Rainfall - (MM), Year, Statistics, Country, ISO3
85.2084, 1999, Apr Average, France, FRA
81.9647, 1999, May Average, France, FRA
58.9442, 1999, Jun Average, France, FRA
56.6183, 1999, Jul Average, France, FRA
73.5501, 1999, Aug Average, France, FRA
122.186, 1999, Sep Average, France, FRA
90.1811, 1999, Oct Average, France, FRA
76.3416, 1999, Nov Average, France, FRA
132.722, 1999, Dec Average, France, FRA
23.8885, 2000, Jan Average, France, FRA
68.289, 2000, Feb Average, France, FRA
45.7922, 2000, Mar Average, France, FRA
100.744, 2000, Apr Average, France, FRA
79.4951, 2000, May Average, France, FRA
56.6932, 2000, Jun Average, France, FRA
102.381, 2000, Jul Average, France, FRA
54.0106, 2000, Aug Average, France, FRA
68.405, 2000, Sep Average, France, FRA
129.85, 2000, Oct Average, France, FRA
140.279, 2000, Nov Average, France, FRA
86.4602, 2000, Dec Average, France, FRA
102.37, 2001, Jan Average, France, FRA
45.4411, 2001, Feb Average, France, FRA
138.153, 2001, Mar Average, France, FRA
93.2941, 2001, Apr Average, France, FRA
60.567, 2001, May Average, France, FRA
47.1829, 2001, Jun Average, France, FRA
100.933, 2001, Jul Average, France, FRA
57.9225, 2001, Aug Average, France, FRA
74.7067, 2001, Sep Average, France, FRA
85.5609, 2001, Oct Average, France, FRA
54.4008, 2001, Nov Average, France, FRA
37.3755, 2001, Dec Average, France, FRA
38.8329, 2002, Jan Average, France, FRA
84.8897, 2002, Feb Average, France, FRA
50.2182, 2002, Mar Average, France, FRA
37.417, 2002, Apr Average, France, FRA
106.939, 2002, May Average, France, FRA
64.9043, 2002, Jun Average, France, FRA
72.0217, 2002, Jul Average, France, FRA
92.5564, 2002, Aug Average, France, FRA
62.2645, 2002, Sep Average, France, FRA
93.6351, 2002, Oct Average, France, FRA
145.107, 2002, Nov Average, France, FRA
91.0155, 2002, Dec Average, France, FRA
77.0904, 2003, Jan Average, France, FRA
41.5359, 2003, Feb Average, France, FRA
28.5818, 2003, Mar Average, France, FRA
49.968, 2003, Apr Average, France, FRA
61.4901, 2003, May Average, France, FRA
46.8612, 2003, Jun Average, France, FRA
48.3668, 2003, Jul Average, France, FRA
41.0958, 2003, Aug Average, France, FRA
51.6961, 2003, Sep Average, France, FRA
105.836, 2003, Oct Average, France, FRA
83.2599, 2003, Nov Average, France, FRA
81.7469, 2003, Dec Average, France, FRA
119.796, 2004, Jan Average, France, FRA
36.1976, 2004, Feb Average, France, FRA
48.167, 2004, Mar Average, France, FRA
69.7175, 2004, Apr Average, France, FRA
54.3706, 2004, May Average, France, FRA
30.0823, 2004, Jun Average, France, FRA
56.3269, 2004, Jul Average, France, FRA
109.928, 2004, Aug Average, France, FRA
30.6159, 2004, Sep Average, France, FRA
124.534, 2004, Oct Average, France, FRA
44.2436, 2004, Nov Average, France, FRA
63.8482, 2004, Dec Average, France, FRA
41.4968, 2005, Jan Average, France, FRA
36.7973, 2005, Feb Average, France, FRA
40.0597, 2005, Mar Average, France, FRA
90.8379, 2005, Apr Average, France, FRA
62.5767, 2005, May Average, France, FRA
43.9428, 2005, Jun Average, France, FRA
52.5571, 2005, Jul Average, France, FRA
42.794, 2005, Aug Average, France, FRA
60.7114, 2005, Sep Average, France, FRA
73.4677, 2005, Oct Average, France, FRA
69.8714, 2005, Nov Average, France, FRA
58.8872, 2005, Dec Average, France, FRA
49.996, 2006, Jan Average, France, FRA
54.6431, 2006, Feb Average, France, FRA
107.285, 2006, Mar Average, France, FRA
45.0111, 2006, Apr Average, France, FRA
79.3294, 2006, May Average, France, FRA
33.91, 2006, Jun Average, France, FRA
58.8252, 2006, Jul Average, France, FRA
85.4838, 2006, Aug Average, France, FRA
88.2271, 2006, Sep Average, France, FRA
81.8893, 2006, Oct Average, France, FRA
67.3187, 2006, Nov Average, France, FRA
68.5356, 2006, Dec Average, France, FRA
55.2612, 2007, Jan Average, France, FRA
84.3801, 2007, Feb Average, France, FRA
71.6069, 2007, Mar Average, France, FRA
34.1579, 2007, Apr Average, France, FRA
121.299, 2007, May Average, France, FRA
98.0597, 2007, Jun Average, France, FRA
81.9787, 2007, Jul Average, France, FRA
90.0395, 2007, Aug Average, France, FRA
43.2951, 2007, Sep Average, France, FRA
38.2204, 2007, Oct Average, France, FRA
57.4731, 2007, Nov Average, France, FRA
60.8331, 2007, Dec Average, France, FRA
80.6551, 2008, Jan Average, France, FRA
36.4331, 2008, Feb Average, France, FRA
82.8672, 2008, Mar Average, France, FRA
92.1459, 2008, Apr Average, France, FRA
105.785, 2008, May Average, France, FRA
63.9193, 2008, Jun Average, France, FRA
66.3293, 2008, Jul Average, France, FRA
75.8361, 2008, Aug Average, France, FRA
71.5124, 2008, Sep Average, France, FRA
96.3819, 2008, Oct Average, France, FRA
87.9717, 2008, Nov Average, France, FRA
73.7373, 2008, Dec Average, France, FRA
71.5613, 2009, Jan Average, France, FRA
53.9887, 2009, Feb Average, France, FRA
44.6546, 2009, Mar Average, France, FRA
84.8981, 2009, Apr Average, France, FRA
56.2537, 2009, May Average, France, FRA
75.7315, 2009, Jun Average, France, FRA
60.0363, 2009, Jul Average, France, FRA
36.2606, 2009, Aug Average, France, FRA
47.6264, 2009, Sep Average, France, FRA
53.806, 2009, Oct Average, France, FRA
109.689, 2009, Nov Average, France, FRA
103.608, 2009, Dec Average, France, FRA
60.0113, 2010, Jan Average, France, FRA
73.9496, 2010, Feb Average, France, FRA
63.2978, 2010, Mar Average, France, FRA
30.7474, 2010, Apr Average, France, FRA
78.0232, 2010, May Average, France, FRA
83.6204, 2010, Jun Average, France, FRA
45.0797, 2010, Jul Average, France, FRA
65.7436, 2010, Aug Average, France, FRA
68.2517, 2010, Sep Average, France, FRA
77.3454, 2010, Oct Average, France, FRA
102.21, 2010, Nov Average, France, FRA
85.5314, 2010, Dec Average, France, FRA
49.848, 2011, Jan Average, France, FRA
41.3523, 2011, Feb Average, France, FRA
49.717, 2011, Mar Average, France, FRA
20.5333, 2011, Apr Average, France, FRA
34.4148, 2011, May Average, France, FRA
70.4635, 2011, Jun Average, France, FRA
93.6293, 2011, Jul Average, France, FRA
75.4671, 2011, Aug Average, France, FRA
44.9747, 2011, Sep Average, France, FRA
49.2172, 2011, Oct Average, France, FRA
63.5508, 2011, Nov Average, France, FRA
124.24, 2011, Dec Average, France, FRA
53.477, 2012, Jan Average, France, FRA
10.6334, 2012, Feb Average, France, FRA
26.4511, 2012, Mar Average, France, FRA
116.997, 2012, Apr Average, France, FRA
80.209, 2012, May Average, France, FRA
85.6464, 2012, Jun Average, France, FRA
66.9175, 2012, Jul Average, France, FRA
43.6431, 2012, Aug Average, France, FRA
64.9893, 2012, Sep Average, France, FRA
119.235, 2012, Oct Average, France, FRA
84.3606, 2012, Nov Average, France, FRA
111.859, 2012, Dec Average, France, FRA
75.5269, 2013, Jan Average, France, FRA
59.2424, 2013, Feb Average, France, FRA
83.2043, 2013, Mar Average, France, FRA
81.5973, 2013, Apr Average, France, FRA
118.117, 2013, May Average, France, FRA
62.6676, 2013, Jun Average, France, FRA
67.9771, 2013, Jul Average, France, FRA
44.2524, 2013, Aug Average, France, FRA
69.6693, 2013, Sep Average, France, FRA
96.9653, 2013, Oct Average, France, FRA
108.247, 2013, Nov Average, France, FRA
72.8908, 2013, Dec Average, France, FRA
108.802, 2014, Jan Average, France, FRA
99.0963, 2014, Feb Average, France, FRA
36.0784, 2014, Mar Average, France, FRA
49.1349, 2014, Apr Average, France, FRA
74.7569, 2014, May Average, France, FRA
56.2304, 2014, Jun Average, France, FRA
110.278, 2014, Jul Average, France, FRA
89.2108, 2014, Aug Average, France, FRA
44.3141, 2014, Sep Average, France, FRA
74.1295, 2014, Oct Average, France, FRA
122.586, 2014, Nov Average, France, FRA
56.676, 2014, Dec Average, France, FRA
78.1193, 2015, Jan Average, France, FRA
64.1797, 2015, Feb Average, France, FRA
52.6017, 2015, Mar Average, France, FRA
57.0098, 2015, Apr Average, France, FRA
51.2777, 2015, May Average, France, FRA
59.6698, 2015, Jun Average, France, FRA
30.2518, 2015, Jul Average, France, FRA
90.988, 2015, Aug Average, France, FRA
78.3018, 2015, Sep Average, France, FRA
55.8297, 2015, Oct Average, France, FRA
59.0931, 2015, Nov Average, France, FRA
24.0576, 2015, Dec Average, France, FRA
105.525, 2016, Jan Average, France, FRA
93.3024, 2016, Feb Average, France, FRA
73.1815, 2016, Mar Average, France, FRA
74.5945, 2016, Apr Average, France, FRA
106.787, 2016, May Average, France, FRA
86.6589, 2016, Jun Average, France, FRA
34.7662, 2016, Jul Average, France, FRA
24.9382, 2016, Aug Average, France, FRA
39.8369, 2016, Sep Average, France, FRA
61.658, 2016, Oct Average, France, FRA
95.7876, 2016, Nov Average, France, FRA
18.733, 2016, Dec Average, France, FRA
