Rainfall - (MM), Year, Statistics, Country, ISO3
71.6533, 1979, Aug Average, France, FRA
37.471, 1979, Sep Average, France, FRA
138.726, 1979, Oct Average, France, FRA
66.0315, 1979, Nov Average, France, FRA
117.663, 1979, Dec Average, France, FRA
70.4335, 1980, Jan Average, France, FRA
57.0003, 1980, Feb Average, France, FRA
92.1928, 1980, Mar Average, France, FRA
31.2829, 1980, Apr Average, France, FRA
86.6682, 1980, May Average, France, FRA
84.2666, 1980, Jun Average, France, FRA
81.3219, 1980, Jul Average, France, FRA
56.1609, 1980, Aug Average, France, FRA
49.3691, 1980, Sep Average, France, FRA
94.6103, 1980, Oct Average, France, FRA
68.4283, 1980, Nov Average, France, FRA
65.9348, 1980, Dec Average, France, FRA
76.3021, 1981, Jan Average, France, FRA
44.8524, 1981, Feb Average, France, FRA
90.9581, 1981, Mar Average, France, FRA
42.5277, 1981, Apr Average, France, FRA
116.411, 1981, May Average, France, FRA
81.8204, 1981, Jun Average, France, FRA
70.1016, 1981, Jul Average, France, FRA
36.0567, 1981, Aug Average, France, FRA
93.2977, 1981, Sep Average, France, FRA
120.433, 1981, Oct Average, France, FRA
32.1889, 1981, Nov Average, France, FRA
154.909, 1981, Dec Average, France, FRA
80.9438, 1982, Jan Average, France, FRA
40.8014, 1982, Feb Average, France, FRA
68.3422, 1982, Mar Average, France, FRA
21.3089, 1982, Apr Average, France, FRA
57.0535, 1982, May Average, France, FRA
87.3749, 1982, Jun Average, France, FRA
68.8471, 1982, Jul Average, France, FRA
67.2853, 1982, Aug Average, France, FRA
70.9282, 1982, Sep Average, France, FRA
128.839, 1982, Oct Average, France, FRA
102.045, 1982, Nov Average, France, FRA
116.671, 1982, Dec Average, France, FRA
41.8746, 1983, Jan Average, France, FRA
71.0555, 1983, Feb Average, France, FRA
58.3233, 1983, Mar Average, France, FRA
127.032, 1983, Apr Average, France, FRA
122.454, 1983, May Average, France, FRA
56.6871, 1983, Jun Average, France, FRA
40.4284, 1983, Jul Average, France, FRA
80.4926, 1983, Aug Average, France, FRA
60.1054, 1983, Sep Average, France, FRA
56.7666, 1983, Oct Average, France, FRA
49.1858, 1983, Nov Average, France, FRA
61.6365, 1983, Dec Average, France, FRA
115.278, 1984, Jan Average, France, FRA
58.7107, 1984, Feb Average, France, FRA
63.1204, 1984, Mar Average, France, FRA
20.9813, 1984, Apr Average, France, FRA
131.024, 1984, May Average, France, FRA
52.8076, 1984, Jun Average, France, FRA
32.1042, 1984, Jul Average, France, FRA
63.7497, 1984, Aug Average, France, FRA
104.714, 1984, Sep Average, France, FRA
88.5059, 1984, Oct Average, France, FRA
115.217, 1984, Nov Average, France, FRA
65.787, 1984, Dec Average, France, FRA
58.7584, 1985, Jan Average, France, FRA
46.2021, 1985, Feb Average, France, FRA
79.6759, 1985, Mar Average, France, FRA
66.0976, 1985, Apr Average, France, FRA
116.726, 1985, May Average, France, FRA
73.9632, 1985, Jun Average, France, FRA
47.613, 1985, Jul Average, France, FRA
52.0987, 1985, Aug Average, France, FRA
17.1957, 1985, Sep Average, France, FRA
27.1027, 1985, Oct Average, France, FRA
62.7494, 1985, Nov Average, France, FRA
65.119, 1985, Dec Average, France, FRA
116.521, 1986, Jan Average, France, FRA
57.9155, 1986, Feb Average, France, FRA
70.7251, 1986, Mar Average, France, FRA
119.195, 1986, Apr Average, France, FRA
68.9135, 1986, May Average, France, FRA
43.9378, 1986, Jun Average, France, FRA
32.7462, 1986, Jul Average, France, FRA
66.7397, 1986, Aug Average, France, FRA
79.7306, 1986, Sep Average, France, FRA
75.3607, 1986, Oct Average, France, FRA
57.0012, 1986, Nov Average, France, FRA
81.2745, 1986, Dec Average, France, FRA
45.8177, 1987, Jan Average, France, FRA
64.2862, 1987, Feb Average, France, FRA
58.4978, 1987, Mar Average, France, FRA
53.3855, 1987, Apr Average, France, FRA
67.5225, 1987, May Average, France, FRA
104.93, 1987, Jun Average, France, FRA
97.2814, 1987, Jul Average, France, FRA
63.3667, 1987, Aug Average, France, FRA
57.3423, 1987, Sep Average, France, FRA
145.226, 1987, Oct Average, France, FRA
76.5531, 1987, Nov Average, France, FRA
58.6614, 1987, Dec Average, France, FRA
134.667, 1988, Jan Average, France, FRA
77.2053, 1988, Feb Average, France, FRA
99.6955, 1988, Mar Average, France, FRA
70.9405, 1988, Apr Average, France, FRA
115.714, 1988, May Average, France, FRA
65.896, 1988, Jun Average, France, FRA
73.4452, 1988, Jul Average, France, FRA
40.4483, 1988, Aug Average, France, FRA
56.7342, 1988, Sep Average, France, FRA
95.3963, 1988, Oct Average, France, FRA
40.4364, 1988, Nov Average, France, FRA
50.7491, 1988, Dec Average, France, FRA
26.2198, 1989, Jan Average, France, FRA
63.6967, 1989, Feb Average, France, FRA
54.287, 1989, Mar Average, France, FRA
133.568, 1989, Apr Average, France, FRA
31.1279, 1989, May Average, France, FRA
36.6623, 1989, Jun Average, France, FRA
48.2101, 1989, Jul Average, France, FRA
44.4376, 1989, Aug Average, France, FRA
43.1093, 1989, Sep Average, France, FRA
42.7427, 1989, Oct Average, France, FRA
64.5501, 1989, Nov Average, France, FRA
76.9057, 1989, Dec Average, France, FRA
54.3633, 1990, Jan Average, France, FRA
100.38, 1990, Feb Average, France, FRA
15.8901, 1990, Mar Average, France, FRA
72.2093, 1990, Apr Average, France, FRA
54.1551, 1990, May Average, France, FRA
78.9854, 1990, Jun Average, France, FRA
32.5378, 1990, Jul Average, France, FRA
42.4062, 1990, Aug Average, France, FRA
44.9772, 1990, Sep Average, France, FRA
117.421, 1990, Oct Average, France, FRA
76.1265, 1990, Nov Average, France, FRA
75.0977, 1990, Dec Average, France, FRA
