Rainfall - (MM), Year, Statistics, Country, ISO3
109.271, 1916, Feb Average, France, FRA
79.7144, 1916, Mar Average, France, FRA
70.9901, 1916, Apr Average, France, FRA
61.1108, 1916, May Average, France, FRA
62.4318, 1916, Jun Average, France, FRA
66.9133, 1916, Jul Average, France, FRA
65.5876, 1916, Aug Average, France, FRA
83.9882, 1916, Sep Average, France, FRA
87.3885, 1916, Oct Average, France, FRA
97.4906, 1916, Nov Average, France, FRA
118.471, 1916, Dec Average, France, FRA
56.6533, 1917, Jan Average, France, FRA
30.269, 1917, Feb Average, France, FRA
83.3538, 1917, Mar Average, France, FRA
58.6023, 1917, Apr Average, France, FRA
101.52, 1917, May Average, France, FRA
90.2719, 1917, Jun Average, France, FRA
68.3073, 1917, Jul Average, France, FRA
87.0655, 1917, Aug Average, France, FRA
40.2815, 1917, Sep Average, France, FRA
115.942, 1917, Oct Average, France, FRA
45.8893, 1917, Nov Average, France, FRA
59.0147, 1917, Dec Average, France, FRA
51.9221, 1918, Jan Average, France, FRA
19.8551, 1918, Feb Average, France, FRA
54.4613, 1918, Mar Average, France, FRA
99.0888, 1918, Apr Average, France, FRA
69.4461, 1918, May Average, France, FRA
53.3464, 1918, Jun Average, France, FRA
45.4926, 1918, Jul Average, France, FRA
35.5811, 1918, Aug Average, France, FRA
104.013, 1918, Sep Average, France, FRA
72.4133, 1918, Oct Average, France, FRA
76.2801, 1918, Nov Average, France, FRA
90.3744, 1918, Dec Average, France, FRA
93.9121, 1919, Jan Average, France, FRA
92.3153, 1919, Feb Average, France, FRA
102.611, 1919, Mar Average, France, FRA
67.672, 1919, Apr Average, France, FRA
38.5198, 1919, May Average, France, FRA
34.5315, 1919, Jun Average, France, FRA
65.4949, 1919, Jul Average, France, FRA
26.9549, 1919, Aug Average, France, FRA
62.0683, 1919, Sep Average, France, FRA
71.5797, 1919, Oct Average, France, FRA
117.854, 1919, Nov Average, France, FRA
92.1091, 1919, Dec Average, France, FRA
78.3903, 1920, Jan Average, France, FRA
18.452, 1920, Feb Average, France, FRA
84.129, 1920, Mar Average, France, FRA
81.0089, 1920, Apr Average, France, FRA
53.1191, 1920, May Average, France, FRA
64.1316, 1920, Jun Average, France, FRA
74.9124, 1920, Jul Average, France, FRA
42.0372, 1920, Aug Average, France, FRA
85.985, 1920, Sep Average, France, FRA
85.4478, 1920, Oct Average, France, FRA
49.8444, 1920, Nov Average, France, FRA
52.8215, 1920, Dec Average, France, FRA
43.6327, 1921, Jan Average, France, FRA
24.9139, 1921, Feb Average, France, FRA
29.9046, 1921, Mar Average, France, FRA
40.2812, 1921, Apr Average, France, FRA
82.7867, 1921, May Average, France, FRA
37.8988, 1921, Jun Average, France, FRA
26.409, 1921, Jul Average, France, FRA
84.7439, 1921, Aug Average, France, FRA
44.6284, 1921, Sep Average, France, FRA
20.5627, 1921, Oct Average, France, FRA
35.6022, 1921, Nov Average, France, FRA
44.735, 1921, Dec Average, France, FRA
91.6812, 1922, Jan Average, France, FRA
58.2314, 1922, Feb Average, France, FRA
83.3806, 1922, Mar Average, France, FRA
128.413, 1922, Apr Average, France, FRA
34.8679, 1922, May Average, France, FRA
75.4457, 1922, Jun Average, France, FRA
67.6935, 1922, Jul Average, France, FRA
76.3576, 1922, Aug Average, France, FRA
72.9303, 1922, Sep Average, France, FRA
68.028, 1922, Oct Average, France, FRA
62.3952, 1922, Nov Average, France, FRA
90.0951, 1922, Dec Average, France, FRA
45.301, 1923, Jan Average, France, FRA
91.5894, 1923, Feb Average, France, FRA
65.5451, 1923, Mar Average, France, FRA
85.5917, 1923, Apr Average, France, FRA
85.6253, 1923, May Average, France, FRA
29.8838, 1923, Jun Average, France, FRA
37.7918, 1923, Jul Average, France, FRA
44.3453, 1923, Aug Average, France, FRA
62.9686, 1923, Sep Average, France, FRA
116.938, 1923, Oct Average, France, FRA
110.874, 1923, Nov Average, France, FRA
109.331, 1923, Dec Average, France, FRA
57.3934, 1924, Jan Average, France, FRA
38.004, 1924, Feb Average, France, FRA
65.9855, 1924, Mar Average, France, FRA
65.148, 1924, Apr Average, France, FRA
61.0641, 1924, May Average, France, FRA
60.948, 1924, Jun Average, France, FRA
73.2166, 1924, Jul Average, France, FRA
83.6847, 1924, Aug Average, France, FRA
86.0975, 1924, Sep Average, France, FRA
84.6279, 1924, Oct Average, France, FRA
60.1097, 1924, Nov Average, France, FRA
52.0976, 1924, Dec Average, France, FRA
38.2237, 1925, Jan Average, France, FRA
73.0364, 1925, Feb Average, France, FRA
46.5239, 1925, Mar Average, France, FRA
80.2155, 1925, Apr Average, France, FRA
94.393, 1925, May Average, France, FRA
22.7191, 1925, Jun Average, France, FRA
97.9694, 1925, Jul Average, France, FRA
88.052, 1925, Aug Average, France, FRA
65.5131, 1925, Sep Average, France, FRA
67.003, 1925, Oct Average, France, FRA
73.9035, 1925, Nov Average, France, FRA
89.5934, 1925, Dec Average, France, FRA
76.7673, 1926, Jan Average, France, FRA
71.0274, 1926, Feb Average, France, FRA
51.4753, 1926, Mar Average, France, FRA
76.018, 1926, Apr Average, France, FRA
108.6, 1926, May Average, France, FRA
83.9509, 1926, Jun Average, France, FRA
49.4927, 1926, Jul Average, France, FRA
37.7694, 1926, Aug Average, France, FRA
38.8981, 1926, Sep Average, France, FRA
108.89, 1926, Oct Average, France, FRA
129.493, 1926, Nov Average, France, FRA
26.4101, 1926, Dec Average, France, FRA
66.4312, 1927, Jan Average, France, FRA
50.0546, 1927, Feb Average, France, FRA
113.578, 1927, Mar Average, France, FRA
51.3624, 1927, Apr Average, France, FRA
59.4753, 1927, May Average, France, FRA
80.625, 1927, Jun Average, France, FRA
91.2542, 1927, Jul Average, France, FRA
104.398, 1927, Aug Average, France, FRA
103.581, 1927, Sep Average, France, FRA
33.5616, 1927, Oct Average, France, FRA
81.3509, 1927, Nov Average, France, FRA
87.956, 1927, Dec Average, France, FRA
70.6113, 1928, Jan Average, France, FRA
62.639, 1928, Feb Average, France, FRA
90.8627, 1928, Mar Average, France, FRA
98.721, 1928, Apr Average, France, FRA
70.4384, 1928, May Average, France, FRA
51.8406, 1928, Jun Average, France, FRA
20.3368, 1928, Jul Average, France, FRA
56.9027, 1928, Aug Average, France, FRA
47.8291, 1928, Sep Average, France, FRA
127.826, 1928, Oct Average, France, FRA
112.02, 1928, Nov Average, France, FRA
60.6539, 1928, Dec Average, France, FRA
28.3848, 1929, Jan Average, France, FRA
31.6684, 1929, Feb Average, France, FRA
6.28321, 1929, Mar Average, France, FRA
48.7058, 1929, Apr Average, France, FRA
67.2072, 1929, May Average, France, FRA
66.6938, 1929, Jun Average, France, FRA
59.8285, 1929, Jul Average, France, FRA
46.7475, 1929, Aug Average, France, FRA
36.6226, 1929, Sep Average, France, FRA
116.623, 1929, Oct Average, France, FRA
77.9868, 1929, Nov Average, France, FRA
106.103, 1929, Dec Average, France, FRA
82.2318, 1930, Jan Average, France, FRA
54.072, 1930, Feb Average, France, FRA
78.8357, 1930, Mar Average, France, FRA
79.7576, 1930, Apr Average, France, FRA
96.6125, 1930, May Average, France, FRA
86.0494, 1930, Jun Average, France, FRA
103.113, 1930, Jul Average, France, FRA
61.5145, 1930, Aug Average, France, FRA
85.9368, 1930, Sep Average, France, FRA
114.123, 1930, Oct Average, France, FRA
116.824, 1930, Nov Average, France, FRA
81.4053, 1930, Dec Average, France, FRA
